essround_yr,age_group,stress,media,internet,relig,social,finvul,ideological,trust
2002,<25,4.651821108751883,2.412504830341512,3.7938552470168396,2.676176536668789,4.240100135490904,4.552871610995785,3.070656819431154,3.5693326481177947
2002,25-39,4.6037339491145675,2.5413275116857483,3.4681966171682683,2.7338402052149586,3.862337054614133,4.446004961045313,3.103820052498966,3.5828028402038945
2002,40-59,4.430263164903804,2.647185452298383,2.9213596270437088,2.939408049524865,3.6434670131685247,4.434732017762579,3.1732834732490787,3.5853018902888216
2002,60+,4.20409475334244,2.8572492597433263,1.6682789870180412,3.4471058630459113,3.476432668412631,4.314756554307116,3.456757478667527,3.6436800460723764
2004,<25,4.594464739017289,2.373943140179651,4.198549107142857,2.62940237845242,4.219071403797889,4.363309352517986,3.147547636848529,3.43842449967147
2004,25-39,4.513538495521689,2.5117110010112325,3.6634497757238007,2.755415277723506,3.789002726998852,4.237041295391396,3.1846627287251787,3.4327013345829953
2004,40-59,4.32054381324548,2.6193202281820622,3.100032836528814,2.9088890469468773,3.6024076720035074,4.215549977473128,3.232795203109431,3.4133862425025385
2004,60+,4.0971561723457555,2.824743379754599,1.7450883756356548,3.43028502353069,3.4348896602768617,4.152050489846576,3.5415661855339615,3.4903874392273107
2006,<25,4.599457307405135,2.3119759919083145,4.6196530904625455,2.543464688292715,4.2814898823284,4.434484038604306,3.133844516428386,3.391713502293296
2006,25-39,4.483415815744683,2.4684839109922643,4.097556129545003,2.6390552758137766,3.852886401399049,4.2909893422327485,3.134053091237146,3.3693361392462244
2006,40-59,4.3086940721817015,2.578385554432826,3.4725200359632247,2.8286842583116125,3.680200781351042,4.246007984031936,3.2009246312939728,3.3799021664381037
2006,60+,4.047842459092309,2.8152617566000724,1.9724178468841151,3.297336925974456,3.5644030615767193,4.07035332657359,3.5090569106117395,3.4229223859916815
2008,<25,4.581870913781237,2.2689740117957276,4.889611298937723,2.701416796087448,4.212825354765528,3.811584241446052,3.2376181053189232,3.3332117464418207
2008,25-39,4.449007681738158,2.4496707837222975,4.381181371951557,2.817384633390098,3.7651476060836355,3.854474513526588,3.2350838548181753,3.2484508532783436
2008,40-59,4.233717072529407,2.5797957135014635,3.6586426696662917,2.902127853609381,3.5611633340525266,3.8447060389711845,3.2762382373078545,3.254812457902245
2008,60+,3.9590250741760915,2.794715876847419,2.128107709026355,3.3434583180841178,3.4435103342060236,3.335088239790757,3.500912368566651,3.2781242465121676
2010,<25,4.668809806765076,2.188537109842372,5.494736384200452,2.548919379607634,4.2567261347894245,3.7969959371873747,3.1612896619677393,3.3149756645754795
2010,25-39,4.493087708093778,2.398151678261525,4.997388352050144,2.6777508160236216,3.760161853344642,3.789720488609894,3.1868802978696906,3.1748479034797037
2010,40-59,4.266273278199799,2.5443267276149117,4.151277351357543,2.8402640122330367,3.569971455985254,3.776512780845996,3.2520490153323345,3.2124484880606743
2010,60+,3.989711873961877,2.7899116289062538,2.3751835596890474,3.2900438712771716,3.4650202033779856,3.2732937046049475,3.4844597911977497,3.235610323723414
2012,<25,4.674198541974895,2.74795774161001,,2.551782042141156,3.9508195658763032,3.7611886887184687,3.1799725435124837,3.409043838274215
2012,25-39,4.5082621716739695,2.9391025444684566,,2.6789973167570884,3.567218146486843,3.76165377526221,3.2040851047511105,3.2207795264360777
2012,40-59,4.306858462129816,3.2056091835686935,,2.8070425118703146,3.418111598363645,3.762589216197716,3.2358284210833332,3.2508227420723905
2012,60+,4.085312631085953,3.7227592683669073,,3.2087647796575856,3.3361297040541587,3.3362887901118405,3.419376891147602,3.280822314389787
2014,<25,4.756613488501133,2.5711738888193056,,2.3584886866394914,3.968226399464303,3.9923402613786396,3.008135483642006,3.656033408108211
2014,25-39,4.662623804283066,2.8073982067385934,,2.4722723069396895,3.6477413085430874,4.000838397236018,3.0136748279086887,3.5096132676560017
2014,40-59,4.475947051207388,3.072869115712984,,2.6637834114946894,3.480066399256982,4.0752154720314415,3.0740404741879614,3.519448422154788
2014,60+,4.268812966878916,3.6737895957724582,,3.0728829011904453,3.3882527397859312,3.665739177314141,3.2601262430099163,3.501632239139568
2016,<25,4.751223080504153,,5.767796440711858,2.3798840722246926,3.976058396228327,4.006633959101008,2.97953809801817,3.731387854623089
2016,25-39,4.674785280509418,,5.565022786458333,2.487734077254633,3.6687790288621263,4.014845689430031,3.0492370691547652,3.553416644309926
2016,40-59,4.491791395257729,,4.953590488414511,2.7438191810834076,3.492620527239938,4.0382568771505865,3.105847311841713,3.5482222632124967
2016,60+,4.276821609939373,,3.2086026114481667,3.0967090118780365,3.3879295298085332,3.590403240545965,3.2602274271652645,3.5735220391202467
2018,<25,4.792762598613642,,5.819249542403905,2.3890012232251014,4.019858790104548,4.052762069627395,2.926469159503515,3.7776924990856977
2018,25-39,4.726260841961696,,5.702334630350195,2.4752039166799733,3.7332697163871504,4.127494320693243,3.006272344038431,3.5931895043152955
